Segundo,Corrente,Impedancia
2.07,0.0381991232350966,249.2858263105595
4.03,0.0469655804735286,243.65840377587236
5.69,0.0968338782584777,202.5781443546024
7.85,0.1430231885976007,185.94544294600283
9.5,0.1577719968051124,180.8842044009344
11.66,0.1656509888926365,178.4957083915418
13.61,0.1672923725803888,177.182522287952
15.75,0.1690598310141559,176.31343234087782
17.86,0.1698269782514387,175.84539661395215
19.83,0.1707586662760622,175.2098007462559
21.26,0.1714123165164346,175.27797128280818
22.71,0.1720628571856398,174.38083642236845
24.14,0.1726431734786333,173.6471700704714
25.58,0.1733500432731399,172.96343496474088
27.58,0.1740498484624137,173.02768254510352
29.65,0.1747671522565378,171.65788824114642
31.75,0.1754180456210577,171.23395655413208
33.86,0.1761989114474974,170.44357315199582
36.03,0.1766087456650898,169.7382842056472
38.15,0.1774981823241122,170.59278583617404
39.95,0.177722236155282,168.7978684281475
41.65,0.1782291491776259,167.99449694233388
43.82,0.1790638420324639,167.15895271982163
45.37,0.1790281354051328,167.87129141636632
47.53,0.1798176634512785,166.03929887993033
49.37,0.180137213225799,166.06927709125517
50.87,0.180368096395061,165.14489762365164
52.52,0.1805858877788472,165.00936914097505
54.7,0.1809339873067808,164.4852123706858
56.49,0.1818212229057422,163.9377122150948
58.68,0.1816454632552897,164.07780784129037
0.0,0.1822522036120439,162.84965727106052
2.2,0.1825248702431159,162.40733067132803
3.71,0.1828451769642822,161.87061829757806
5.34,0.0382620117453474,249.20528211782735
7.32,0.2719203492777664,178.34195806719055
9.47,0.1862500812760364,180.1664659560272
11.17,0.1744252777525563,180.62347320664205
13.35,0.1691210996715658,181.4273699637794
15.5,0.1700536115512173,180.3809125684689
17.37,0.1706545619758732,180.6326170298877
19.51,0.1719725031489115,178.45681347461598
21.48,0.1728985905195819,177.61471575777924
23.51,0.1733290330610274,177.52393393271052
25.58,0.1739486660865367,175.70219727238847
27.77,0.1745283708961191,175.03467861158407
29.67,0.1748207960096474,174.78696046602272
31.88,0.1755579180173547,173.770638231674
34.05,0.1760693354072401,173.18469618568454
36.13,0.1763238333172025,173.97531128914977
38.43,0.1771847901475005,171.78069633060204
40.03,0.177206152380422,172.15983023588157
41.59,0.1779693690577149,172.69086147603312
43.16,0.1753914547851429,177.7122434768386
44.71,0.1767343870811345,172.60551367176097
46.64,0.1772058529897042,171.7882871574942
48.81,0.178505861656476,169.98008962102708
50.37,0.1770362065684833,170.85626257011734
51.92,0.1766384934867179,173.161414413619
53.44,0.1798643569198517,169.0047135731524
54.99,0.1804775121150845,166.50105399015993
56.52,0.1808784455804732,166.6527482624519
58.01,0.1810793633788009,165.59467095042797
59.5,0.1816079494342147,165.3835663783644
1.71,0.1817309892536399,164.33642949511045
3.62,0.1818921225413327,164.97730202082838
5.13,0.1825304787331233,163.36044664523556
7.01,0.1823830101073412,163.76937564955628
9.26,0.1826395216492106,162.87995942581244
